t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1
0,0.0,0.0,2.0,1.0,-6.02390531789919e-36,-9.941709884165132e-31,3.1546969366060187e-34,7.702009937754639e-28,1.4690417211849417e-33,6.185674061991725e-27,-6.605432442497745e-34,2.4057887286063234e-28,2.3701924373311505e-34,0.1582073417104794,-1.315741941793598e-13,1.3507861396960328,1.9800304542277435e-10,237.91634224965932,3.8975902532833184e-11,2.3919453355092717,2.3919453355079465,3.1849998096741405,3.1849998096741405,1.0,0,0,1.0,0,0
0.0189142,1.4151165400958045e-05,-1.1798515101018321e-17,2.0002419211667797,0.9997736130563114,1.7742038386523322e-14,0.021276878418241413,3.4858023678886196e-15,0.00299236684955517,-2.4886219100992062e-15,0.025549052411625653,3.745071137838544e-12,4.49999960695974,7.371983967986614e-13,1.0871172063849828,-4.257186467670133e-13,2.8377521848913623,-6.148391944532634e-10,11.565372535791061,-1.2081890150443824e-10,3.1530839966455053,3.153083996649613,3.1916352384335296,3.1916352384335296,0.9978453239459085,0.0021546760540915168,0.0012510208178872367,0.9999001513189981,9.984868100189936e-05,0.001255087199423677
0.0378284,0.00023236231999319073,-1.5000588571660218e-16,2.0012355970068136,0.9978966822032032,-2.3189139436537806e-15,0.06482433418247643,1.6374873161108915e-15,0.023554329744555073,-1.0540753701519834e-14,0.07922289253505904,-7.884126365878084e-12,4.718749489264125,-1.5479956514216985e-12,2.213872539804207,4.899642473605646e-13,2.716291326559095,6.805885839756487e-10,11.565368790482209,1.3326439464243926e-10,3.1597194380733318,3.159719438068801,3.198270667372674,3.198270667372674,0.9957551497933266,0.002090174152581934,0.001250797951692009,0.9998002982636236,9.985305537444015e-05,0.0012550880227721847
0.0567426,0.0010398071285142316,-2.7207352372852603e-16,2.003225946496,0.9938977782550269,-1.597773963960078e-14,0.11030498049755152,-1.2456838630176869e-15,0.0654279793844934,-1.2734671431496596e-15,0.130599396504162,4.988668884050113e-12,4.937499300728953,9.725950648033156e-13,3.3784328726532817,9.525524629621346e-15,2.480492542817516,-2.76362516709201e-10,11.56384802370363,-5.387046023031868e-11,3.1663599336408725,3.166359933642704,3.2049060937208003,3.2049060937208003,0.9937053637455049,0.0020497860478216135,0.0012506882402887431,0.9997004290590482,9.986920457543643e-05,0.0012550898579503607
0.0756568,0.0028466972080351855,-2.773183518518651e-16,2.00614945052316,0.9875032174389827,6.81295504282711e-15,0.15759878655476456,2.8103232072764626e-16,0.12932836745924914,-1.0932993720580848e-15,0.17751595281214455,-2.3850973180467944e-13,5.156220348091907,-4.632212083831721e-14,4.586972217570669,-1.4110955565521568e-13,2.192869659223767,1.671943261955407e-13,1.5030847238850815e-05,6.394199512628152e-20,3.211541309881592,3.211541309881592,3.211541359984416,3.211541359984416,0.9916846002049693,0.0020207635405356827,0.0012506168490699753,0.9996005237183866,9.990534066161738e-05,0.0012550936655304201
0.094571,0.006078464813199811,-3.2505992569700837e-16,2.009912605123293,0.9786474654347228,4.510327087782276e-15,0.2055459077369311,5.331041673568718e-16,0.21608732222891805,-3.762275109422101e-15,0.21899234956283906,-2.3534738324530085e-13,5.1562206323885045,-4.63221196289049e-14,5.744879072436269,-8.05099842894572e-14,1.7129766010393486,1.6719607840166232e-13,-0.00014709271636483278,-4.609464993865708e-19,3.2181768827419552,3.2181768827419552,3.218176392432901,3.218176392432901,0.9896846502966207,0.001999949908348687,0.0012505652263918006,0.9995005537120757,9.997000631081707e-05,0.0012551003491874436
0.113485,0.011159723553697733,-4.124228638776441e-16,2.0143777786595214,0.9674651280698054,2.2262331373695375e-15,0.25300436275173266,7.77763771024938e-16,0.3247471701550706,-5.285057841508304e-15,0.25139194833995643,-2.321850015443281e-13,5.15621785024601,-4.6322128347343686e-14,6.852809392002823,-2.0764873612107864e-14,1.1213496507140746,1.672090922231731e-13,-0.0005410746813528596,-3.11718122030334e-18,3.2248123426355106,3.2248123426355106,3.224810539053239,3.224810539053239,0.9876982198157682,0.0019864304808524676,0.0012505260139816113,0.9994004819219399,0.00010007179013587634,0.0012551108029953942
0.132399,0.0184960968598233,-5.178634154516831e-16,2.0193531591200076,0.9539828062649333,-3.422976729953872e-17,0.29986127920548367,1.0130100320025432e-15,0.45436264456507564,-5.677809017024444e-15,0.27260139086821555,-2.290223736972053e-13,5.156207616245982,-4.6322187306363204e-14,7.8999782320136545,3.754823668944517e-14,0.42316672825234175,1.672889231124265e-13,-0.0027273884264302196,-1.8861214311512798e-17,3.2314477737106837,3.2314477737106837,3.231438682415929,3.231438682415929,0.9857181264643254,0.0019800933514426675,0.0012504955618909696,0.9993002629141838,0.0001002190077560948,0.001255125894126222
0.151314,0.02847338509819707,-6.202470997434562e-16,2.024607856738328,0.93823264062658,-2.266083175789329e-15,0.3460050480731149,1.2368789812410209e-15,0.6037844900881856,-4.967613791480721e-15,0.28060525513751294,-2.2585823591189638e-13,5.156156029849138,-4.632254405132736e-14,8.305386941779755,6.61224994849354e-14,-0.8624338539450986,3.081621738555302e-11,-112.15722993486332,-5.9872767507915796e-12,3.2380831930592113,3.2380831930592113,2.864225759942712,2.864225759942916,0.9837369103750031,0.00198121608932248,0.0012504718110467085,0.9991998431771615,0.00010041973702240542,0.0012551464733392059
0.170228,0.041358404996918806,-7.019137831595655e-16,2.0297801233413475,0.924131112158538,-2.092324381636283e-15,0.3820754587225878,-1.0423981046928655e-17,0.7608743209936999,-3.716958965167162e-15,0.2642930003042186,3.5700616428746866e-13,3.034790654725139,-1.5956715251562834e-13,8.570195147348246,1.8562589423698665e-14,-1.5310392648791138,-1.889020507983602e-11,-160.30738561013007,3.732314320330696e-12,3.244718607736022,3.244718607736022,2.7103606557025253,2.7103606557023987,0.9817468025802192,0.0019901077947839223,0.0012504534352453908,0.9990991633032458,0.0001006798739156964,0.0012551731807113528
0.189142,0.05727560692666777,-7.676709157029439e-16,2.0345124589747696,0.9185482491565261,-9.812814965779768e-16,0.39530884010644424,-1.7713574536410813e-15,0.9229727898503116,-3.3658622547816916e-15,0.23533460246971336,-2.871373447889599e-16,0.0027031343086562024,-8.897337650290725e-14,9.444947813421248,5.264120606673749e-15,-0.860574687446363,1.35488566684909e-15,-0.014946228471540054,-2.342174377302291e-16,3.251354021339536,3.251354021339536,3.2513042005779607,3.2513042005779607,0.9797398039101823,0.0020069986700368223,0.001250439494275805,0.9989981606368322,0.00010100266641354473,0.0012552063993341018
0.208056,0.07642234741706595,-8.303938478048087e-16,2.0388097065084265,0.918538671706086,-1.3162540057020713e-15,0.3953310937329605,-2.5432698526655733e-15,1.1016165141370224,-3.266295573329592e-15,0.2190575123015886,-2.615107530607701e-16,0.0024204382079533637,-8.897780654065818e-14,9.464675429978247,5.335722574898715e-15,-0.8427307211280175,1.5794682333923633e-15,-0.007143005661593206,-2.807902857871934e-16,3.2579894347566207,3.2579894347566207,3.257965624737747,3.257965624737747,0.9777073197976851,0.0020324841124971685,0.001250429415469875,0.9988967675759666,0.00010139306086555416,0.0012552467031865893
0.226971,0.09895152256471802,-8.912205254200294e-16,2.0428022764733527,0.9185298747716333,-1.6510086735347652e-15,0.39535153248887384,-3.31532570506064e-15,1.2806333707017152,-3.165374597229957e-15,0.20311792665568323,-2.3163635955646593e-16,0.00228533390042349,-8.898311746702723e-14,9.48435336512643,5.400088648704957e-15,-0.824885551125036,9.634893588547583e-16,-0.004623948968104842,-1.6137075130281205e-16,3.2646248480222195,3.2646248480222195,3.264609434858991,3.264609434858991,0.975640046788299,0.002067273009386127,0.0012504228076642054,0.9987949122082931,0.00010185536767355002,0.0012552946210993272
0.245885,0.12487018049521968,-9.501266530426128e-16,2.0464965532335464,0.9185214934712285,-1.985573571876891e-15,0.39537100439810735,-4.087506051799446e-15,1.4600224198598015,-3.063236187707755e-15,0.18751586829874098,-2.134127197040736e-16,0.0021978755596373037,-8.898616966726943e-14,9.504011104839455,5.4590000672496054e-15,-0.8070314891612641,8.670734160242495e-16,-0.0033846201014908137,-1.4336673535041181e-16,3.271260261129805,3.271260261129805,3.271248979062799,3.271248979062799,0.9735280789261156,0.002111967862183374,0.00125041934514557,0.9986925210192703,0.00010239118902280448,0.0012553504223863738
0.264799,0.15418535714689924,-1.0070902286364467e-15,2.0498989226294806,0.9185133949607647,-2.3200018110405256e-15,0.3953898182344602,-4.859774727255457e-15,1.6397832796305842,-2.9599835152568714e-15,0.17225150541517356,-1.9701271122033545e-16,0.0021338581450183695,-8.898888133577705e-14,9.523656719261222,5.513382801538333e-15,-0.7891695447559252,6.533827453706931e-16,-0.0026502294277408914,-1.0216290365176199e-16,3.277895674072307,3.277895674072307,3.2778868399742134,3.2778868399742134,0.9713606720266762,0.0021674068994393344,0.001250418834126218,0.998589518642737,0.00010300237653320475,0.0012554144221580913
0.283713,0.1869040827614526,-1.0620910082236082e-15,2.053015773412684,0.9185055094819327,-2.6543164714511467e-15,0.3954081361528719,-5.632116075147572e-15,1.8199157206737608,-2.8557022363613414e-15,0.15732498709513434,-1.8465449290897183e-16,0.002083731149661857,-8.899081366636827e-14,9.543293884220866,5.564060031332247e-15,-0.7713011298723499,5.306970112847225e-16,-0.002166103992732463,-7.864126963978868e-17,3.284531086842098,3.284531086842098,3.2845238664954546,3.2845238664954546,0.9691259728397141,0.0022346991869620567,0.0012504211893618123,0.9984858275974869,0.00010369104525009721,0.001255486984923757
0.302627,0.2230333839360972,-1.115110222684665e-15,2.0558534968642403,0.9184977939707577,-2.9885427024949917e-15,0.3954260582641886,-6.404512991947491e-15,2.0004195831744322,-2.750462437710514e-15,0.14273643572260605,-1.7461677830889635e-16,0.002042761004342031,-8.899230110383946e-14,9.562924697374617,5.611620461564555e-15,-0.7534274097960799,4.677184677844764e-16,-0.0018240093801080361,-6.6740548310088e-17,3.2911664994309717,3.2911664994309717,3.291160419399704,3.291160419399704,0.9668106965231176,0.0023152763165965855,0.0012504264221882256,0.9983813680077971,0.00010445958968983622,0.0012555685287923238
0.321542,0.2625802846390743,-1.1661303127721754e-15,2.058418486351969,0.9184902192292748,-3.3226943651544215e-15,0.39544365244974655,-7.17695608144501e-15,2.1812947469932094,-2.6443230711051336e-15,0.12848595164111623,-1.6577025309210675e-16,0.0020082613082893575,-8.89935634485709e-14,9.58255051559462,5.656399915114236e-15,-0.7355492954302786,4.017020935512561e-16,-0.0015701500142430956,-5.4178424106364746e-17,3.2978019118301103,3.2978019118301103,3.297796677996729,3.297796677996729,0.9643997316611439,0.0024109648619736732,0.0012504346371009516,0.9982760573055748,0.00010531070222232573,0.001255659530362314
0.340456,0.30555180681988897,-1.2151347702747987e-15,2.060717136967167,0.9184827641981467,-3.656781087408583e-15,0.39546096767299166,-7.949438830007886e-15,2.3625411176548674,-2.5373367365215637e-15,0.1145736179651789,-1.5817237542635702e-16,0.0019785631615368013,-8.89945881906499e-14,9.602172288535149,5.698689353208269e-15,-0.7176675009032241,3.4745276718008905e-16,-0.001374780985997269,-4.385487131303439e-17,3.304437324030041,3.304437324030041,3.304432741426754,3.304432741426754,0.9618756453719898,0.0025240862891540696,0.0012504460356872703,0.9981698099115218,0.00010624739405294816,0.0012557605303993183
0.35937,0.3519549708179279,-1.2621080292283139e-15,2.062755845238112,0.91847541300379,-3.990811853921846e-15,0.395478040842808,-8.721955150687503e-15,2.544158618646142,-2.4295505306344833e-15,0.10099950430213601,-1.5160058089991475e-16,0.0019525602655686397,-8.899541767088571e-14,9.621790717572363,5.7387176568009425e-15,-0.6997825942801734,3.2996105284564064e-16,-0.0012201283486064673,-4.071657121207472e-17,3.3110727360205927,3.3110727360205927,3.311068668926097,3.311068668926097,0.9592180508981782,0.002657594473811518,0.0012504609279076627,0.9980625368924229,0.0001072730190990078,0.001255872140415555
0.378284,0.4017967956555348,-1.3070353701381683e-15,2.0645410089030922,0.9184681532787886,-4.324792012518587e-15,0.3954949007174831,-9.49450143825568e-15,2.7261471867197438,-2.3210072210161877e-15,0.0877636695148241,-1.453596283277737e-16,0.0019294825020268315,-8.899618779265506e-14,9.641406341288393,5.776605520745407e-15,-0.6818950348370749,2.920039021053241e-16,-0.0010949237539663234,-3.352302488665259e-17,3.3177081477908374,3.3177081477908374,3.31770449804499,3.31770449804499,0.9564027847946459,0.0028152661035323124,0.0012504797517705081,0.9979541455913216,0.0001083913011011845,0.0012559950502863853
0.397198,0.4550842992584313,-1.3499028596906119e-15,2.0660790267280884,0.9184609751354019,-4.658725694628509e-15,0.39551157029072265,-1.0267074915223657e-14,2.90850676881524,-2.2117472923912005e-15,0.07486616377923805,-1.3983660526731576e-16,0.001908772884453235,-8.899682185418016e-14,9.661019585633886,5.8124958888241425e-15,-0.6640051996278794,2.7179591342614587e-16,-0.0009916817697177582,-2.9783448502935404e-17,3.324343559329037,3.324343559329037,3.3243402537231375,3.3243402537231375,0.953400817658176,0.0030019671364699806,0.0012505031036102617,0.9978445392269566,0.000109606364364969,0.001256130037063616
0.416113,0.5118244986273599,-1.3906973049435207e-15,2.067376298358116,0.9184538705027335,-4.992617241523955e-15,0.3955280683324027,-1.1039672651903618e-14,3.091237319928717,-2.101808525815357e-15,0.06230703013969522,-1.3469580034393026e-16,0.0018900160074276282,-8.899738518457306e-14,9.68063079535649,5.846490539483488e-15,-0.6461134024968549,2.5382777322064794e-16,-0.0009052382685549962,-2.645169989994382e-17,3.3309789706225748,3.3309789706225748,3.330975953161679,3.330975953161679,0.9501767866620112,0.0032240309961648647,0.0012505317827216772,0.9977336164583654,0.00011092276859111316,0.001256277975175563
0.435027,0.572024409975343,-1.4294062079437565e-15,2.068439224194272,0.9184468326796581,-5.326469496557543e-15,0.3955444104278238,-1.1812292740120973e-14,3.2743388015768904,-1.991226777285608e-15,0.05008630570439666,-1.2989484859371471e-16,0.0018728941409169714,-8.899788549757396e-14,9.700240254721265,5.878667426325014e-15,-0.6282199078786468,2.3970378873482625e-16,-0.0008319174106190113,-2.3879380948778745e-17,3.337614381657878,3.337614381657878,3.3376116085998424,3.3376116085998424,0.9466869821260806,0.0034898045359306163,0.0012505668563640674,0.9976212709100362,0.0001123455483292641,0.001256439848240253
0.453941,0.6356910488397793,-1.4660177345499337e-15,2.0692742052907387,0.9184398560223974,-5.660284849393627e-15,0.3955606097039809,-1.2584933579797108e-14,3.4578111806531253,-1.8800364283681307e-15,0.03820402257997105,-1.2536104084896731e-16,0.0018571590804944296,-8.89983371571946e-14,9.719848201738577,5.90909451529661e-15,-0.6103249409854578,2.209034637546734e-16,-0.000769033003108138,-2.0327730837744358e-17,3.344249792420342,3.344249792420342,3.3442472289769976,3.3442472289769976,0.9428765302991702,0.0038104518269103968,0.0012506097546633199,0.9975073906523589,0.00011388025767724219,0.00125661676276217
0.472855,0.702831430175565,-1.5005206888292346e-15,2.069887643267513,0.9184329357196772,-5.9940657544952315e-15,0.3955766773522558,-1.3357593521043777e-14,3.6416544285525645,-1.7682705751069062e-15,0.02666020861333623,-1.2118282639479188e-16,0.001842613428947323,-8.899872164015998e-14,9.739454838264715,5.9378463347808764e-15,-0.5924286954555755,2.0915880219240943e-16,-0.0007145775212882796,-1.8184797657921845e-17,3.350885202894233,3.350885202894233,3.3508828209691615,3.3508828209691615,0.9386753659430869,0.004201164356083304,0.0012506624105959295,0.9973918576314065,0.00011553302095245014,0.0012568099640363868
0.491769,0.7734525684335517,-1.5329044873399292e-15,2.070285940235721,0.9184260676268482,-6.32781448961674e-15,0.3955926230140446,-1.4130271031134438e-14,3.825868520488303,-1.6559609039004528e-15,0.01545488798889485,-1.1722675293317846e-16,0.0018290977598069275,-8.899906559123765e-14,9.75906033737323,5.964976355065409e-15,-0.5745313391886757,2.00660438622699e-16,-0.0006670212953673869,-1.6644628644962446e-17,3.3575206130625896,3.3575206130625896,3.357518389658271,3.357518389658271,0.9339923357599472,0.004683030183139617,0.0012507274695711642,0.9972745470412216,0.00011731059018488344,0.0012570208546489599
0.510684,0.8475614776274462,-1.5631591356666822e-15,2.0704754987331255,0.9184192481408825,-6.6615325606617544e-15,0.3956084550713689,-1.4902965105232436e-14,4.010453434946985,-1.5431380897990523e-15,0.004588081715359868,-1.1343141930289352e-16,0.0018164815790998566,-8.899938041123552e-14,9.778664848861657,5.990519697548472e-15,-0.556633018864298,1.9531287886392962e-16,-0.0006251788964996293,-1.573900398012463e-17,3.3641560229071077,3.3641560229071077,3.3641539389774526,3.3641539389774526,0.9287063298156323,0.0052860059443149325,0.0012508086087925675,0.9971553266307945,0.00011922041042707933,0.0012572510160419378
0.529598,0.9251651713914341,-1.591275212848562e-15,2.070462721667988,0.9184124741044235,-6.995220994199989e-15,0.3956241808699452,-1.5675675065775287e-14,4.195409153248558,-1.429832143559492e-15,-0.005940191972883341,-1.0973723053968712e-16,0.0018046568143025915,-8.89996781020585e-14,9.798268503449144,6.014503781935054e-15,-0.5387338634884702,1.8387163227853018e-16,-0.0005881178910859682,-1.3608151033809383e-17,3.3707914324080153,3.3707914324080153,3.3707894720150446,3.3707894720150446,0.9226525276788261,0.006053802136806152,0.0012509110330981771,0.9970340559367447,0.00012127069404995222,0.0012575022337088003
0.548512,1.006270663030258,-1.6172438608640507e-15,2.0702540122698645,0.9184057427309444,-7.328881041399051e-15,0.3956398068931872,-1.6448400080169062e-14,4.380735659185416,-1.3160725573165072e-15,-0.016129917281496476,-1.0625944391452049e-16,0.0017935330291363094,-8.899993548948185e-14,9.817871416030865,6.0369677023516515e-15,-0.5208339872122801,1.7931892053494142e-16,-0.0005550950892787605,-1.2831245019358281e-17,3.3774268415439272,3.3774268415439272,3.3774249912269627,3.3774249912269627,0.9156003007228907,0.007052226955935462,0.0012510422584196652,0.9969105854313438,0.0001234705054008059,0.001257776526706154
0.567426,1.0908849655630724,-1.641056772464684e-15,2.0698557740461916,0.9183990515455357,-7.662513892980264e-15,0.3956553388998738,-1.7221139353635484e-14,4.566432938723108,-1.2018880837703233e-15,-0.025981080575218855,-1.0286776823433154e-16,0.001783033844170871,-8.900017818234186e-14,9.837473688241499,6.0579346036599606e-15,-0.5029334915973417,1.7327145526573927e-16,-0.0005255110938957083,-1.1715176971120051e-17,3.3840622502916897,3.3840622502916897,3.384060498588043,3.384060498588043,0.9072162151266407,0.00838408559624987,0.0012512133642140072,0.9967847555738956,0.00012582985744832075,0.0012580761823158598
0.586341,1.1790150917621112,-1.6627061797080495e-15,2.06927441074377,0.9183923983374611,-7.996120335526132e-15,0.39567078203445627,-1.799389236543889e-14,4.75250097974952,-1.0873070378543962e-15,-0.03549367013974747,-9.959047558087034e-17,0.0017730942171001835,-8.900039976565668e-14,9.85707541049993,6.077426277352974e-15,-0.48503246745563144,1.681512794823135e-16,-0.0004988773075149005,-1.0815822235012744e-17,3.3906976586262005,3.3906976586262005,3.390695995701842,3.390695995701842,0.896999006098134,0.010217209028506738,0.0012514409833264083,0.9966563957515573,0.00012835982233823823,0.0012584037968759395
0.605255,1.2706680541869908,-1.6821848463503196e-15,2.0685163263144077,0.9183857811217124,-8.329701199444537e-15,0.39568614091644755,-1.8766658562721568e-14,4.938939771862741,-9.723573223333123e-16,-0.04466767597841608,-9.641002700627785e-17,0.001763658347052289,-8.900060433838735e-14,9.876676663661476,6.095463371949856e-15,-0.46713099635794064,1.6233540768762125e-16,-0.0004747915928187651,-9.765673677185983e-18,3.3973330665202095,3.3973330665202095,3.3973314838815667,3.3973314838815667,0.8841584793136115,0.012840526784522481,0.0012517502730096386,0.9965253230934129,0.00013107265814435806,0.001258762324028172
0.624169,1.3658508652153043,-1.6994860601970123e-15,2.0675879248841285,0.9183791981075342,-8.663257298658886e-15,0.39570141971360545,-1.9539437406182197e-14,5.125749306190174,-8.570664494212346e-16,-0.053503089637405514,-9.333958105085298e-17,0.0017546780392648138,-8.900078904838791e-14,9.896277520365496,6.1120658249003194e-15,-0.44922915188147805,1.5938069132372525e-16,-0.00045292005290877154,-9.261518013081329e-18,3.403968473944091,3.403968473944091,3.4039669642105808,3.4039669642105808,0.8673737882335568,0.016784691080054658,0.001252178150938823,0.9963913411388761,0.00013398195453684857,0.0012591551319177437
0.643083,1.4645705370700424,-1.7146036257051462e-15,2.066495610725456,0.9183726476724162,-8.996789285246752e-15,0.39571662220240594,-2.0312228465051843e-14,5.312929575233139,-7.414615542312201e-16,-0.06199990405455135,-9.032502122056977e-17,0.0017461114143713674,-8.900096422268247e-14,9.915878046146851,6.127246071866338e-15,-0.4313270006500866,1.550145968781775e-16,-0.0004329832112018217,-8.474702440016118e-18,3.41060388086559,3.41060388086559,3.410602437588219,3.410602437588219,0.8442695586491447,0.02310422958441212,0.0012527692555335075,0.996254238338254,0.00013710280062202994,0.0012595860712417797
0.661997,1.5668340818442814,-1.7275318582417102e-15,2.065245788232369,0.9183661283404195,-9.330297703315115e-15,0.3957317518184379,-2.108503138040081e-14,5.500480572732494,-6.255695366656062e-16,-0.07015811342782652,-8.739304261654086e-17,0.0017379218790842799,-8.900112451498223e-14,9.935478300359934,6.141017367298379e-15,-0.4134246032081077,1.525283110471913e-16,-0.0004147454013923245,-8.034717112915184e-18,3.4172392872495334,3.4172392872495334,3.4172379047648618,3.4172379047648618,0.8101740096731753,0.0340955489759694,0.0012535122519485085,0.9961137863593961,0.0001404519788579097,0.0012600595564999687
0.680912,1.6726485115234977,-1.7382655795584205e-15,2.0638448618975773,0.9183596387639745,-9.66378306116304e-15,0.39574681169872844,-2.185784581479442e-14,5.68840229355174,-5.0941704592927375e-16,-0.07797771310035231,-8.450809014428765e-17,0.0017300772975578232,-8.900127648530721e-14,9.955078336952935,6.153389494832722e-15,-0.39552201475962384,1.482581186831676e-16,-0.0003980065315280773,-7.288298698627734e-18,3.4238746930574995,3.4238746930574995,3.423873366369061,3.423873366369061,0.7550430139678218,0.05513099570535348,0.0012538378684339494,0.9959697381696487,0.00014404818974731053,0.001260580663378126
0.699826,1.7820208380058142,-1.7468001137000167e-15,2.0622992362918375,0.9183531777084845,-9.99724586185439e-15,0.39576180471754474,-2.2630671437063045e-14,5.876694733574766,-3.930305461773548e-16,-0.08545869945939163,-8.170390498620064e-17,0.001722549318527428,-8.900141433771772e-14,9.97467820512102,6.164375656534007e-15,-0.3776192857979434,1.4512967366462616e-16,-0.00038259562595360265,-6.716078580276693e-18,3.430510098247447,3.430510098247447,3.4305088229286937,3.4305088229286937,0.6569297984042565,0.09811321556356538,0.0012495089006060351,0.9958218258566556,0.0001479123129931364,0.0012611552459274042
0.71874,1.894958073120433,-1.7531312829462132e-15,2.0606153160450704,0.9183467440392136,-1.0330686657360365e-14,0.3957767335168819,-2.3403507881524975e-14,6.065357889615947,-2.7643625185836105e-16,-0.0926010698472484,-7.895889189347372e-17,0.0017153128245979397,-8.900154136703688e-14,9.994277949863022,6.173985799643059e-15,-0.3597164626449897,1.43296652922511e-16,-0.0003683657139312713,-6.399072252979281e-18,3.4371455027732876,3.4371455027732876,3.4371442748875745,3.4371442748875745,0.5171004310544255,0.13982936734983087,0.0012056619096057844,0.9956697581446304,0.0001520677120250903,0.0012617900787790144
0.737654,2.011467228644468,-1.7572554034464948e-15,2.058799505829053,0.9183403367100539,-1.0664105815197719e-14,0.395791600532586,-2.4176354904430534e-14,6.254391759340776,-1.5966018927660467e-16,-0.09940482248236912,-7.624854893959087e-17,0.0017083454782095663,-8.900166240043186e-14,10.013877612456287,6.182224617494838e-15,-0.34181358791616406,1.4158491948456396e-16,-0.0003551897441452242,-6.1194672700445395e-18,3.4437809065843985,3.4437809065843985,3.4437797226185847,3.4437797226185847,0.36451100841584655,0.15258942263857897,0.0009769829875842918,0.9955132175543461,0.0001565405902844885,0.001262493028222973
